mean_force,std_dev,range,skewness,kurtosis,time_to_peak,velocity_rms,acceleration_rms,jerk_rms,subject,trial,force_column
62.54880832131312,74.4097744798282,218.4492471414141,0.6500134933716952,-1.1648288711018346,0.44,8.858321380702208,2.715434512989617,1.6411224549507182,S01,S01_0002_Gait_f_1,Force_Z
13.900951840808075,31.120518458912233,129.42082715151514,0.8754630791790649,-0.04538055229573512,0.84,4.730488369788876,2.3786271543960567,1.9570705059428781,S01,S01_0002_Gait_f_2,Force_Z
45.8540084369697,55.37067857622909,156.79681637373736,0.6751578265091068,-1.2195748400687456,0.43,6.178295592206473,1.7160169543845696,0.8949446098511517,S01,S01_0003_Gait_f_1,Force_Z
13.68493318363636,29.891575413315138,104.51404292929288,1.9630607163474083,2.209504447422354,0.54,5.627696714297375,3.021859090406012,2.48902582054484,S01,S01_0003_Gait_f_2,Force_Z
31.60309528595959,42.614509099397566,142.6508655757576,1.0222188327804491,-0.3839120490911183,0.41,4.969563516969707,1.4984649712140492,0.8505839043857547,S01,S01_0004_Gait_f_1,Force_Z
22.08840952555555,34.713106746820564,125.01794294949495,1.6320165517879208,1.4137031387668229,0.52,6.952784059843729,4.4132943027354505,3.802364400914129,S01,S01_0004_Gait_f_2,Force_Z
46.68114885050507,57.48619800376416,170.41958994949496,0.7423816310738148,-1.0218182137550111,0.41,7.032442790039836,2.1484700219564656,1.2050050736458178,S01,S01_0005_Gait_f_1,Force_Z
4.094964040909091,26.812549473027918,104.54491907070704,1.6003913181398495,1.6205484278075275,0.52,5.114049031198461,2.8160355806540998,2.3369056681625606,S01,S01_0005_Gait_f_2,Force_Z
56.21184514272726,65.46337750009,188.35403185858578,0.6148253021687972,-1.223033021038363,0.42,7.418304346089782,2.051579568351782,1.1146565590028403,S01,S01_0006_Gait_f_1,Force_Z
8.744350526666665,27.79562898799726,114.94050677777781,-0.022028528728162588,-0.1274333404824879,0.86,4.372904180607827,2.0085621835500933,1.5609706105510572,S01,S01_0006_Gait_f_2,Force_Z
45.40841170171717,53.55326350684201,159.4380647373739,0.7120155666378426,-1.002920966085788,0.43,6.103074488830418,1.6898429275364628,0.8630393855810868,S01,S01_0007_Gait_f_1,Force_Z
7.722093977272726,27.7202265687881,104.76202766666681,1.7062130911485562,1.5844379001401636,0.55,4.7265699663932805,2.402703049343739,1.9677057481455007,S01,S01_0007_Gait_f_2,Force_Z
59.37058362181818,71.87529032073158,208.629519,0.6620912522106612,-1.183405555908658,0.44,8.768297234442821,2.759318643686235,1.6575963455580063,S01,S01_0008_Gait_f_1,Force_Z
10.792134538181807,26.975817325298596,111.26473345454542,0.6057020574143087,-0.16687850872991694,0.83,4.232749305550042,2.001846066985316,1.5390721140342347,S01,S01_0008_Gait_f_2,Force_Z
57.71141634636364,72.33166310055748,213.29933427272735,0.7415800384601009,-1.0520317111648732,0.45,9.297800356632749,3.159563741453407,2.0317632983788982,S01,S01_0009_Gait_f_1,Force_Z
15.29869128787878,30.664754609309384,124.32045815151507,0.9207951674790417,-0.09769805074995075,0.83,4.571730302811167,2.0042629697901786,1.5042262090869751,S01,S01_0009_Gait_f_2,Force_Z
18.836311754646463,32.17331835456575,121.01642009090915,1.13809948815535,-0.052592575755485704,0.4,4.366486338496111,1.5933982513665212,1.069551464390543,S01,S01_0010_Gait_f_1,Force_Z
15.214886313939394,30.887817430071944,110.88887770707069,2.040512517855148,2.6057203605166803,0.5,6.3349896431847785,3.4958369079347604,2.8773638857788137,S01,S01_0010_Gait_f_2,Force_Z
42.59728620070706,56.81508353627851,173.97839735353529,0.9751979617833662,-0.5106503252948391,0.43,7.381823263276417,2.4988593652701683,1.5521857673697732,S01,S01_0011_Gait_f_1,Force_Z
5.101835879494942,24.92758794070633,106.53537828282836,-0.15040688755243894,0.3825015111522201,0.8,4.48506469100719,2.2664550322151795,1.8052498141208462,S01,S01_0011_Gait_f_2,Force_Z
50.163638547575765,60.57793168693617,176.87675981818185,0.6924260532187578,-1.1304873634772443,0.45,7.2569718751457115,2.1616136514671647,1.1591663768376597,S01,S01_0012_Gait_f_1,Force_Z
0.11058459202019956,22.7769936236416,98.84497323232313,-1.2430087018929572,1.364038502566241,0.85,4.755162672320037,2.7986005710658133,2.296608079010735,S01,S01_0012_Gait_f_2,Force_Z
26.426963087272735,37.01263990770599,122.78599390909088,0.9809657952460977,-0.5755681038300877,0.42,4.8782479711960525,1.6291670988852602,0.9477378745963294,S01,S01_0013_Gait_f_1,Force_Z
27.063254552727265,40.801082389044474,144.52980754545447,1.4801113326745916,1.044389901707988,0.52,7.987408795967256,4.71130088299869,3.9342250903640332,S01,S01_0013_Gait_f_2,Force_Z
24.86497461909091,37.192676309478216,124.575545,0.992116412379949,-0.6247646763491943,0.44,4.805032736561269,1.648502733737339,1.0274409224824554,S01,S01_0014_Gait_f_1,Force_Z
27.15556529363636,39.322567630839934,137.03580945454544,1.325042412355813,0.6651099491598575,0.55,7.456791585930254,4.289736830467055,3.572362169430397,S01,S01_0014_Gait_f_2,Force_Z
51.17977020727271,65.43395437131365,193.1886729090911,0.8090593246168699,-0.9321087328704678,0.45,8.170965219493423,2.557271836604375,1.4870279738494496,S01,S01_0015_Gait_f_1,Force_Z
3.560551675454553,25.772131904264974,106.4774212727273,-0.07876170848192539,0.21825675282154533,0.82,4.698769306008518,2.6826692101901246,2.2627618529422926,S01,S01_0015_Gait_f_2,Force_Z
